Year,Iceland,Switzerland,United States of America
1990,54.67,16.8,4.18
1991,54.79,17.11,4.51
1992,54.63,17.01,4.76
1993,54.66,17.99,4.28
1994,54.14,18.33,4.09
1995,55.65,17.63,4.73
1996,52.25,16.69,4.76
1997,54.88,17.41,4.51
1998,57.21,17.07,4.53
1999,59.82,18.38,5.71
2000,60.66,18.19,5.43
2001,62.12,18.72,4.68
2002,61.84,18.19,4.84
2003,61.88,18.03,5.33
2004,61.88,18.1,5.48
2005,62.7,18.73,5.84
2006,64.19,18.07,6.4
2007,67.5,19.31,6.3
2008,73.92,19.55,6.85
2009,74.61,19.97,7.35
2010,75.89,20.56,7.44
2011,77.12,20.57,8.36
2012,77.71,21.88,8.73
2013,76.62,21.83,9.08
2014,76.95,22.2,9.22
2015,77.76,23.94,9.03
2016,80.77,24.1,9.46
2017,80.68,24.99,9.92
2018,81.26,24.2,10.12
2019,81.57,24.76,10.42
2020,82.79,26.37,11.16
